Code,Description,Value
00.01,Language,English
00.02,Password,****
00.04,Description,52-MP-20
00.05,Plant Reference,204-MF-02_rev.0
00.06,Model Number,P241311B2M0600J
00.08,Serial Number,690927U
00.09,Frequency,60 Hz
00.0A,Comms Level,2
00.0B,Relay Address,1
00.0C,Plant Status,0000000000000010
00.0D,Control Status,0000000000000000
00.0E,Active Group,1
00.10,CB Trip/Close,No Operation
00.11,Software Ref. 1,P241 60C
00.20,Opto I/P Status,00000001
00.21,Relay O/P Status,0000000
00.22,Alarm Status 1,10000000000000000000001000000100
00.50,Alarm Status 1,10000000000000000000001000000100
00.51,Alarm Status 2,00000000000000000000000000000000
00.52,Alarm Status 3,00000000000000000000000000000000
00.D0,Access Level,2
00.D1,Password Control,2
00.D2,Password Level 1,****
00.D3,Password Level 2,****
07.01,CB Control by,Disabled
08.01,Date/Time,2019-08-15 11:57:01.636
08.06,Battery Status,Healthy
08.07,Battery Alarm,Enabled
08.20,LocalTime Enable,Fixed
08.21,LocalTime Offset,0 min
08.22,DST Enable,Enabled
08.23,DST Offset,60.00 min
08.24,DST Start,Last
08.25,DST Start Day,Sunday
08.26,DST Start Month,March
08.27,DST Start Mins,60.00 min
08.28,DST End,Last
08.29,DST End Day,Sunday
08.2A,DST End Month,October
08.2B,DST End Mins,60.00 min
09.01,Restore Defaults,No Operation
09.02,Setting Group,Select via Menu
09.03,Active Settings,Group 1
09.04,Save Changes,No Operation
09.05,Copy From,Group 1
09.06,Copy To,No Operation
09.07,Setting Group 1,Enabled
09.08,Setting Group 2,Disabled
09.0B,Thermal Overload,Enabled
09.0C,Short Circuit,Enabled
09.0D,Sensitive E/F,Enabled
09.0E,Neg Seq O/C,Enabled
09.0F,3Ph Volt.Check,Disabled
09.10,Derived E/F,Disabled
09.11,Neg Seq O/V,Disabled
09.14,Stall Detection,Enabled
09.16,Residual O/V NVD,Disabled
09.17,Limit nb Starts,Enabled
09.18,Loss of Load,Disabled
09.19,Out of Step,Disabled
09.1A,Reverse power,Disabled
09.1B,Antibackspin,Disabled
09.1C,Field Failure,Disabled
09.1D,Volt Protection,Enabled
09.1E,Under Frequency,Disabled
09.1F,RTD Inputs,Enabled
09.20,CB Fail,Enabled
09.21,Supervision,Disabled
09.24,System Config,Invisible
09.25,Input Labels,Visible
09.26,Output Labels,Visible
09.27,RTD Labels,Visible
09.28,CT & VT Ratios,Visible
09.29,Record Control,Invisible
09.2A,Disturb Recorder,Visible
09.2B,Measure't Setup,Visible
09.2C,Comms Settings,Visible
09.2D,Commission Tests,Visible
09.2E,Setting Values,Primary
09.2F,Control Inputs,Visible
09.35,Ctrl I/P Config,Invisible
09.36,Ctrl I/P Labels,Invisible
09.39,Direct Access,Enabled
09.FB,RP1 Read Only,Disabled
0A.01,Main VT Primary,13.80 kV
0A.02,Main VT Sec'y,120.0 V
0A.07,Phase CT Primary,150.0 A
0A.08,Phase CT Sec'y,5.000 A
0A.0B,SEF CT Primary,50.00 A
0A.0C,SEF CT Secondary,5.000 A
0A.11,VT Connect. Mode,2 VT + Residual
0A.12,NVD VT Primary,110.0 V
0A.13,NVD VT Secondary,110.0 V
0C.01,Duration,10.00 s
0C.02,TriggerPosition,30.00 %
0C.03,TriggerMode,Extended
0C.04,AnalogChannel1,IN
0C.05,AnalogChannel2,IN
0C.06,AnalogChannel3,IN
0C.07,AnalogChannel4,IA
0C.08,AnalogChannel5,IB
0C.09,AnalogChannel6,IC
0C.0A,AnalogChannel7,IN
0C.0B,AnalogChannel8,IN
0C.0C,DigitalInput1,Strt in Progress
0C.0D,Input1Trigger,Trigger L/H
0C.0E,DigitalInput2,Trip V<2
0C.0F,Input2Trigger,Trigger L/H
0C.10,DigitalInput3,Relay Label 03
0C.11,Input3Trigger,Trigger L/H
0C.12,DigitalInput4,Relay Label 04
0C.13,Input4Trigger,No trigger
0C.14,DigitalInput5,Relay Label 05
0C.15,Input5Trigger,No trigger
0C.16,DigitalInput6,Relay Label 06
0C.17,Input6Trigger,No trigger
0C.18,DigitalInput7,Relay Label 07
0C.19,Input7Trigger,No trigger
0C.1A,DigitalInput8,Unused
0C.1C,DigitalInput9,Unused
0C.1E,DigitalInput10,Unused
0C.20,DigitalInput11,Unused
0C.22,DigitalInput12,Unused
0C.24,DigitalInput13,Unused
0C.26,DigitalInput14,Unused
0C.28,DigitalInput15,Unused
0C.2A,DigitalInput16,Unused
0C.2C,DigitalInput17,Unused
0C.2E,DigitalInput18,Unused
0C.30,DigitalInput19,Unused
0C.32,DigitalInput20,Unused
0C.34,DigitalInput21,Unused
0C.36,DigitalInput22,Unused
0C.38,DigitalInput23,Unused
0C.3A,DigitalInput24,Unused
0C.3C,DigitalInput25,Unused
